Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
9730-15761,9730-,Spare Parts-MG,TBD,,,,,97311 CB UPGRADE KIT XC17
94020P-06071231,94020,Pressure / Vacuum Vents,TBD,,,,,"10"" P-PAL XOS-316SS AW SP"
94020=56110205,94020,Pressure / Vacuum Vents,Standard,94020-6C6C10,,,Open Vent / 6in / CAST STEEL I-ST / ANSI-RF 150# / HIGH / Standard / Lead / FEP,"6""BRETH CS/RF SS/TRM SP>5"
97100-6612,97100,Wastewater - Misc,Standard,97100-6612,,,NoKit,6QT D/T 316 NEOP AIR-INLE
94020=55130300,94020,Pressure / Vacuum Vents,Standard,94021-4C4B10,,,"Closed, Standard Outlet > Inlet* / 4in / CAST STEEL I-ST / ANSI-RF 150# / MED / Standard / Lead / FEP","4""X6""BRETH CS/RF"
9431-11390,9431-,Spare Parts-MG,TBD,,,,,"3""-150# T/B+SHL ASSY STL"
94020=721107001,94020,Pressure / Vacuum Vents,TBD,,,,,"2""RF BV-316SS W/SPCL INCR"
94570=160113AA1,94570,Fire Protection,TBD,,,,,"6""AL BV+FA AL:TB+SH XOS S"
94241-0901,94241,Pressure / Vacuum Vents,Standard,94241-09111,,,"10"" 125 lb. FF Flange / Aluminum / Aluminum / Zinc Plated Steel / Galvanized Steel","10""FREE VENT AL/BASE&HOOD"
94020=15014405,94020,Pressure / Vacuum Vents,Standard,94020-4A4D10,,,Open Vent / 4in / ALUMINUM I-ST / ANSI-FF 150# / LOW / Standard / 316 / FKM,"4""AL O/V AG/VIT SS/TR SP="
94110R1600E001,94110,Pressure / Vacuum Vents,TBD,,,,,"6"" V/V ALUM SS/S(CTD)/P/T"
94020=55030300,94020,Pressure / Vacuum Vents,Standard,94021-4B4B10,,,"Closed, Standard Outlet > Inlet* / 4in / CAST STEEL I-ST / ANSI-FF 150# / MED / Standard / Lead / FEP","4""X6""BRETH CS/FF CV STD<5"
94020=17010500,94020,Pressure / Vacuum Vents,Standard,94020-8A8F10,,,Open Vent / 8in / ALUMINUM I-ST / ANSI-FF 150# / HIGH / Standard / 316 / FEP,"8""BRTHR AL/FF OV ING/ST"
9202-11570,9202-,Spare Parts-MG,TBD,,,,,CHECKER SHAFT ASSEMBLY
610E000VH4H01,6.10E+02,Omnitrol Top Mount,TBD,,,,,"SGL 2.5""NPT|10FT GLC|VH4|"
D42855,D4285,Delavan Capacitance Spare Parts,TBD,,,,,120-A FINAL ASSY
94210-341200015,94210,Emergency Vents,SP,,SP,94210-7A7D10,24in / Standard / Standard / ANSI-FF / STEEL,"24""ANSI-RF CS/316L-P|LP|E"
95021-240202,95021,Gauge Hatches,Standard,95021-20C200,,,"Quick Clamp / 316SS / 10"" / ANSI-RF 150 lb. Bolted / Standard No Lock","10""RF ANSI G/H Q'CLMP 316"
JB3561-5,JB356,Spare Parts-MG,TBD,,,,,"1""NPT AL/HSG 316-WHL/SHV/"
LA220-3781-8,LA220,Spare Parts-MG,TBD,,,,,"4""GPTFE      DIAPHRAGM SP"
827174,82717,L&J Spare Parts,TBD,,,,,ASSY 1600F SPT/4WGLD/1AO/
94020A561103002,94020,Pressure / Vacuum Vents,TBD,,,,,"6""RF BV-STL 316/TR SYS-C5"
94200-12032300,94200,Emergency Vents,Discontinued Feature,,Discontinued Feature,,#N/A,"20""X24""API/STL 316/PAL SP"
9502-11127,9502-,Spare Parts-MG,TBD,,,,,"10"" G/H CVR SEAL RING .02"
810695,81069,L&J Spare Parts,TBD,,,,,3210 PWR SUPP W/110VAC/4A
1200M1706000006,1200M,Transmitters,TBD,,,,,1200M AI/SPT/LJ/2AO/48V/L
2000M0111211400,2000M,Transmitters,TBD,,,,,VAREC/4RLY/SPOT/MBON4852W
654FSV100E4M00,654FS,Omnitrol Side Mount,TBD,,,,,"SIDE MNT 4""150#RF SG=1.1"
94210-341220,94210,Emergency Vents,Standard,94210-7A7D20,,,24in / ATEX / Standard / ANSI-FF / STEEL,"24""ANSI EV-STL SP<12OZ AT"
94110=64050000,94110,Pressure / Vacuum Vents,Standard,94110-3D3F40,,,3in / HIGH / Standard / 316 / 316SS I-ST / ANSI-FF 150#,"3""VAC VENT A316/FF 316WTG"
9402-11090,9402-,Spare Parts-MG,TBD,,,,,".005""FEP DIAPHRAGM 15.390"
94020R16014100,94020,Pressure / Vacuum Vents,TBD,,,,,"6"" BV-ALUM R-ST A/G-PAL V"
94020=470102002,94020,Pressure / Vacuum Vents,TBD,,,,,"8"" BV DI/FF,FEP/N8090 SP<"
D43555-C,D4355,"Delavan Spare Parts (110,220,320)",TBD,,,,,220C W/CLEAR NEMA 4X ENCL
94210-170200003,94210,Emergency Vents,SP,,SP,94210-6E6B10,20in / Standard / Standard / API 650 / 316SS,"20"" E/V;316SS PALLET ONLY"
2000M0D00000170,2000M,Transmitters,TBD,,,,,92021SPIRAL/4-20/LP
94570=521303AD6,94570,Fire Protection,TBD,,,,,"2""X3""CS/RF BV+FA|<5""|CS/3"
94020=54110300,94020,Pressure / Vacuum Vents,Standard,94020-3C3B10,,,Open Vent / 3in / CAST STEEL I-ST / ANSI-RF 150# / MED / Standard / Lead / FEP,"3""BRETH CS/RF/OPEN VNT/SP"
8150B-141212,8150B,Magnetostrictive,TBD,,,,,"MCG 8150B 14'/PROD LVL/2"""
95021-130240,95021,Gauge Hatches,Standard,95021-18B204,,,"Quick Clamp / Steel / 8"" / ANSI-FF 150 lb. Undrilled / ATEX - No Lock","8"" UNDR Q-CLMP STEEL/FEP"
94020A551702003,94020,Pressure / Vacuum Vents,TBD,,,,,"4""RF/CS,AW,HYDR,LP,PNT/C4"
94306-552287,94306,Fire Protection,Standard,94306-4C4B,,,4in / CAST STEEL / ANSI-RF 150# / 316SS Bank / 316SS Shell,"4""FLAME/ARR CS/RF 316SS/T"
94407-632205002,94407,Fire Protection,Standard,94407-632205002,,,NoKit,"6""AL 316TB 2*3/4 2*1/2 2"""
300-0201010101,300-0,Temperature Devices,TBD,,,,,"MCG300 24""/-HEAD/-WELL/PL"
94069=041203,94069,Gauge Hatches,Standard,94069-4C010,,,4'' / Lock-Down (Manual Closing) / Derakane 470 / ANSI 125/150 Lb / Corrosion Barrier / Standard,"4""FRP D470+XCB G/H LOCK/M"
94201-01020600,94201,Emergency Vents,Standard,94201-2D2A2F10,,,20 / Standard / 3.98 - 4.59 / STEEL / STEEL / Standard / API 650,"20""CS/API AL/PAL SP<4.59O"
94270 01130408,94270,Pressure / Vacuum Vents,Standard,94270 01130408,,,NoKit,"1/2""NPT 304/CS FEP/VIT (H"
95021-012200,95021,Gauge Hatches,Standard,95021-04B220,,,"Quick Clamp / Steel / 4"" / ANSI-FF 150 lb. Bolted / Standard No Lock","4""FF G/H Q-CLMP CS/VITON"
351    &E7110 2,351,,TBD,,,,,0502020101 351 MULTI-POIN
94020=52110200,94020,Pressure / Vacuum Vents,Standard,94020-2C2C10,,,Open Vent / 2in / CAST STEEL I-ST / ANSI-RF 150# / HIGH / Standard / Lead / FEP,"2""BRETH CS/RF OV I-SEAT S"
94020=38110300,94020,Pressure / Vacuum Vents,Discontinued Feature,,Discontinued Feature,0,#N/A,"10""BRETH CI/RF OV SP>STD<"
94020P-16088311,94020,Pressure / Vacuum Vents,TBD,,,,,"10""V-PAL REINF/316 AW -.7"
616B000RE4I00,616B0,Omnitrol Top Mount,TBD,,,,,SGL 2.5NPT-CS|SS DSP|RE4|
94270 280102001,94270,Pressure / Vacuum Vents,Standard,94270 280102001,,,NoKit,"1""PN16 316/BUNA 49""DT100"
95021-212150001,95021,Gauge Hatches,SP,,SP,95021-24B125,"Screw Down / Steel / 4"" / ANSI-RF 150 lb. Bolted / ATEX - Locking on Q-Clamp / Screw Dwn","4""RF SCR-LOK STL/VIT|ATEX"
2000M0200015100,2000M,Transmitters,TBD,,,,,2000M 92021/2CAM/GPE 3142
94020R160704F5,94020,Pressure / Vacuum Vents,TBD,,,,,"6"" BV-ALUM AW 316:S/P/T S"
94130-62135401,94130,Pressure / Vacuum Vents,Standard,94131-2E2J10,,,316SS R-ST / ANSI-RF 150# / Standard / LOW / Expanda-Seal / 316 / FKM,"2X3""316/RF CV|XOS|VITON|S"
94210-341120013,94210,Emergency Vents,SP,,SP,94210-7A7C20,24in / ATEX / Standard / ANSI-FF / STEEL,"24""ANIS-RF/CS|RA3.2|PFA|A"
95021-221200,95021,Gauge Hatches,Standard,95021-26B210,,,"Quick Clamp / Steel / 6"" / ANSI-RF 150 lb. Bolted / Standard No Lock","6""RF ANSI Q'CLMP STL/FEP/"
94200-120423019,94200,Emergency Vents,TBD,,SP,,,"24""ANSI-RF CS|SS-PAL|FEP|"
94020=54010300,94020,Pressure / Vacuum Vents,Standard,94020-3B3B10,,,Open Vent / 3in / CAST STEEL I-ST / ANSI-FF 150# / MED / Standard / Lead / FEP,"3""BRETH CS/FF/OV STD<SP<5"
94210-280200001,94210,Emergency Vents,SP,,SP,94210-3B3B10,12in / Standard / Standard / ANSI-FF / 316SS,"12""FF/316 EV|FEP|SP<4OZ|S"
94020A551702002,94020,Pressure / Vacuum Vents,TBD,,,,,"4""RF/CS,AW,NACE,PNT/C4 AT"
94201-09022211,94201,Emergency Vents,Discontinued Feature,,Discontinued Feature,,#N/A,"20""X24""ANSI LIM/L SP<2.23"
94407-432202,94407,Fire Protection,Standard,94407-432202,,,NoKit,"4"" ALUM 316/TB (4)3/4"" IS"
2000M0100001400,2000M,Transmitters,TBD,,,,,2000M VAREC/NOTEMP/2W485/
94020=150103007,94020,Pressure / Vacuum Vents,TBD,,,,,"4"" BV-ALUM A/G-FEP W/TEST"
94020R560106451,94020,Pressure / Vacuum Vents,TBD,,,,,"6""FF BV/CS RST SS/TR PMI"
97400-12113,97400,Wastewater - Misc,TBD,,,,,"12"" W-T ENG,AL/PNL,FCV,VP"
2000M0211201400,2000M,Transmitters,TBD,,,,,92021/SPOT/2RLY/MBUS4852W
95021-042241,95021,Gauge Hatches,Standard,95021-00A224,,,"Quick Clamp / Aluminum / 10"" / ANSI-FF 150 lb. Bolted / ATEX - No Lock","10""FF G/H Q-CLP CS/FKM AT"
95021-033001,95021,Gauge Hatches,Standard,95021-08A030,,,"Unclamped / Aluminum / 8"" / ANSI-FF 150 lb. Bolted / Standard No Lock","8"" GAGE HATCH AL UNCLMP B"
9402-17350,9402-,Spare Parts-MG,TBD,,,,,"12"" XOS BACKUP DISK 1/32"
LA220-3728-12,LA220,Spare Parts-MG,TBD,,,,,"8"" BACK UP DISC .010""FEP"
DT-XXX,DT-XX,Delavan Capacitance Spare Parts,TBD,,,,,"T-PROBE, LENGTH SPECIFIED"
621K322RE4Y26,621K3,Omnitrol Top Mount,TBD,,,,,"SGL-LEAD|3""RF|RE4|20'|GLC"
94406-432202001,94406,Fire Protection,TBD,,,,,"4""AL/FF 316/TB (4)3/4 ISO"
9399-13490,9399-,Spare Parts-MG,TBD,,,,,45D 1-1/2 PULLEY HSG-NI
94140-C6041300,94140,Pressure / Vacuum Vents,TBD,,,,,"6""RF SL/PV STL,VITON 4-5#"
94201-21010600,94201,Emergency Vents,Standard,94201-4D4A4F10,,,24 / Standard / 3.98 - 4.59 / STEEL / STEEL / Standard / API 650,"24""API EMG/VT STL/XOS NO/"
621M422VM2Y05,621M4,Omnitrol Top Mount,TBD,,,,,"SGL-LEAD|4""316/RF|VM2|GLC"
92302-19514A,92302,Automatic Tank Gauges,Standard,92302-19514A,,,NoKit,LLI AL/BD+4AKIT 1.50-2.21
94020A120102001,94020,Pressure / Vacuum Vents,TBD,,,,,"2""BV-ALUM NACE B7M/2HM LP"
94110=18000000,94110,Pressure / Vacuum Vents,Standard,94110-0A0A18,,,10in / LOW / Standard / Lead / ALUMINUM I-ST / ANSI-FF 150#,"10""VAC/VT AL/FF SP/STD"
1090-1041020220,1090-,Overfill Protection,TBD,,,,,"1.5""/NPT/LJ+CK/1.5""DISP/-"
9633-10580,9633-,Spare Parts-MG,TBD,,,,,"4""/6"" SEAL RING TEFLON"
96330 13201000,96330,Fire Protection,Standard,96330-13A2110,,,4 / 4 / Standard Leakage / Single Spring (All Sizes) / ANSI Flange 300 / SRF Smooth,"4""300#ANSI ISV STL|RF|HNB"
94200-120221035,94200,Emergency Vents,TBD,,SP,,,"20""API E/V-STL CS/PAL SP="
9411-10600,9411-,Spare Parts-MG,TBD,,,,,"8"" BACK-UP DISC N8090"
94020R54190400,94020,Pressure / Vacuum Vents,TBD,,,,,3X4 BV-CS/RF AW R-ST SP=S
94201-09020301,94201,Emergency Vents,Standard,94201-3J2A2C10,,,20*24 / Standard / 2.24 - 2.85 / STEEL / STEEL / Limited Lift / ANSI-FF 150#,"20""X24""ANSI E/V-A36; LIM/"
96181-0100002,96181,Wastewater - Misc,Standard,96181-0100002,,,NoKit,"2"" DRN VLV W/2""NPT STEEL"
9464-11371,9464-,Spare Parts-MG,TBD,,,,,"3""MAIN BODY DIAPHGRAM .01"
1097   (I14901A,1097,Vent Relief,TBD,,,,,20         WIRELESS RELIE
97100E630323002,97100,Wastewater - Misc,Standard,97100E630323002,,,NoKit,"6QT AL/B ANOD-CD AI/2""JKT"
D510-1-TF-F2-TB,D510-,Delavan Capacitance,TBD,,,,,"500 1RELAY/TF FLEX/2""FLG/"
94020=721106007,94020,Pressure / Vacuum Vents,TBD,,,,,"2""RF BV A316SS +13.92/-.5"
94210-121200023,94210,Emergency Vents,SP,,SP,94210-4A4D10,16in / Standard / Standard / ANSI-FF / STEEL,"16""RF/CS E/V|FEP|NACE|SP="
95021-031200,95021,Gauge Hatches,Standard,95021-08B210,,,"Quick Clamp / Steel / 8"" / ANSI-FF 150 lb. Bolted / Standard No Lock","8""FF GAGE HTCH-CS,Q CLP,B"
94050-020104,94050,Pressure / Vacuum Vents,Standard,94050-2A2D0,,,"2in / PVC / ANSI-FF / Open, P&V / LOW / 316SS","2""PVC P/V OV SP=STD SS/WG"
94020=551302003,94020,Pressure / Vacuum Vents,TBD,,,,,4X6 BV-STL/RF FEP/GPTFE >
94020=55160300,94020,Pressure / Vacuum Vents,Standard,94022-4C4B10,,,"Pipe Away, Same Size Inlet and Outlet / 4in / CAST STEEL I-ST / ANSI-RF 150# / MED / Standard / Lead / FEP","4""X4"" FPS BV CS/RF A/G ST"
94270 03010106,94270,Pressure / Vacuum Vents,Standard,94270 03010106,,,NoKit,"1/2""FLG 304/CS/BUNA EXT20"
811673,81167,L&J Spare Parts,TBD,,,,,DISP KIT-1.4D DUAL 316 SG
97110-41,97110,Wastewater - Misc,Standard,97110-41,,,NoKit,4QT AUTO DRIP/TRAP ALUM 2
811489-23,81148,L&J Spare Parts,TBD,,,,,RADIO ASSY FIELD/CLINET C
SP1010-SK,SP101,Spare Parts-MG,TBD,,,,,"""O"" RING 24.940 ID X 25.4"
94020R17030140,94020,Pressure / Vacuum Vents,TBD,,,,,8X10 BV-ALUM 316/ST&P SP=
94020=170152001,94020,Pressure / Vacuum Vents,TBD,,,,,"8""AL/FF O/V|XOS|VITON|12/"
9402-20200,9402-,Spare Parts-MG,TBD,,,,,"6"" XOS SEAT 316SS"
94020R16030300,94020,Pressure / Vacuum Vents,TBD,,,,,6X8 BV-ALUM AG/SS R-ST SP
852873-001,85287,Spare Parts-MG,TBD,,,,,"8""VAC/PR SEAT GASKET N809"
94020P-0507051,94020,Pressure / Vacuum Vents,TBD,,,,,"8"" PR PAL SS/FEP CLASSIC"
1090-3127020201,1090-,Overfill Protection,TBD,,,,,"1.5""/4""F/LJ+CK/1.5"" DUAL"
9430-11071-1,9430-,Spare Parts-MG,TBD,,,,,"8"" 304/TB CS/SHELL (2)HAN"
LB233-1371,LB233,Spare Parts-MG,TBD,,,,,HINGE BRACKET MACH 316SS
1090-2133020200,1090-,Overfill Protection,TBD,,,,,"2""/NPT/LJ+CK/STD/1.5""NYL"
97100-3602,97100,Wastewater - Misc,Standard,97100-3602,,,NoKit,3QT 316 BUNA AIR-INLET 5#
94020P-17080511,94020,Pressure / Vacuum Vents,TBD,,,,,"12""V-PAL REIN/316-CL -4KP"
94160-140301A8,94160,Pressure / Vacuum Vents,Standard,94160-06A306C10,,,6in / EN1092-1 PN16 F.F. / MEDIUM / Lead / 18-8SS / Standard / None,"6""PN16FF PV-ALUM 316/PALL"
94020P-06040301,94020,Pressure / Vacuum Vents,TBD,,,,,"10""V-PAL ASY AL SP<2.9 RE"
94140-16140000,94140,Pressure / Vacuum Vents,TBD,,,,,"6"" SLPV ALUM FEP/N8090 14"
2100-0102,2100-,L&J Spare Parts,TBD,,,,,MCG 2100 LJTKWAY/RS232/22
LA277-536-39,LA277,Spare Parts-MG,TBD,,,,,"1.5""LIQ/SEAL 36"" 316/CMTR"
9710-10520,9710-,Spare Parts-MG,TBD,,,,,"TURN PLATE SHAFT 1/4"" HOL"
94020=52130605,94020,Pressure / Vacuum Vents,Standard,94021-2C2E10,,,"Closed, Standard Outlet > Inlet* / 2in / CAST STEEL I-ST / ANSI-RF 150# / MED / Standard / 316 / FEP",2X3 BV-STL/RF 316/TRIM SS
D28955,D2895,"Delavan Spare Parts (110,220,320)",TBD,,,,,21 SENSOR
4360   ZL704501,4360,Docs - Engineering,TBD,,,,,ENGINEERING CHARGES
508101 ZI90091,50810,In-House Repairs,TBD,,,,,IHPR SERV 94XXX BREATHER
RB778-33-11,RB778,Spare Parts-MG,TBD,,,,,MOVING COIL 320 OHM
94270 04027101,94270,Pressure / Vacuum Vents,Standard,94270 04027101,,,NoKit,"1/2""FLG 316/VTN FILTER EX"
94201-22020660,94201,Emergency Vents,Standard,94201-4E4A4F20,,,24 / ATEX / 3.98 - 4.59 / STEEL / ALUMINUM / Standard / API 650,"24""API-AL EV|AL:PAL|<4.59"
95021-210210,95021,Gauge Hatches,Standard,95021-24B201,,,"Quick Clamp / Steel / 4"" / ANSI-RF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","4""RF G/H Q-CLAMP W/LOK ST"
95021-020131,95021,Gauge Hatches,Standard,95021-06A103,,,"Screw Down / Aluminum / 6"" / ANSI-FF 150 lb. Bolted","6""FF LOK-SCRW ALUM/FEP CE"
351    (B732514,351,,TBD,,,,,1302020102 351 MULTI-POIN
94020A72160505,94020,Pressure / Vacuum Vents,TBD,,,,,"2""X2"" 316/RF|SP>5""|SS:TRM"
92302-28352A006,92302,Automatic Tank Gauges,Standard,92302-28352A006,,,NoKit,LLI SS/BRD+2A SS:AB/GWSA/
9402-17241,9402-,Spare Parts-MG,TBD,,,,,"4"" XOS DIAPHRAGM .010""FEP"
94110=56010000,94110,Pressure / Vacuum Vents,Standard,94110-6B6B28,,,6in / MED / Standard / Lead / CAST STEEL I-ST / ANSI-FF 150#,"6""VAC VENT CS/FF 2.9OZ>SP"
94020R180101A5,94020,Pressure / Vacuum Vents,TBD,,,,,"10"" BV-AL FEP SP=STD SS P"
94140-25020001,94140,Pressure / Vacuum Vents,TBD,,,,,4X6 SLPV ALUM XOS/FEP 2-3
9451-10480,9451-,Spare Parts-MG,TBD,,,,,8-POLE MAGNET 60# A279V A
92302-18504A006,92302,Automatic Tank Gauges,Standard,92302-18504A006,,,NoKit,LLI AL/BD+4A BLK JC3603-1
95021-035251,95021,Gauge Hatches,Standard,95021-08A255,,,"Quick Clamp / Aluminum / 8"" / ANSI-FF 150 lb. Bolted / ATEX - Locking on Q-Clamp / Screw Dwn","8"" LOK-CLMP AL TCF/GPTFE"
2000M0200210170,2000M,Transmitters,TBD,,,,,2000M 92021/4RLY/4-20/LOO
LA229-2058-3,LA229,Spare Parts-MG,TBD,,,,,"6"" T/B & SHL SA AL/SHL 30"
351    ZB7050 1,351,,TBD,,,,,1203020101 351 MULTI-POIN
92302-28352A004,92302,Automatic Tank Gauges,Standard,92302-28352A004,,,NoKit,LLI SS/BD+2A/NOD PUL;SS A
663WGV643E2K15A,663WG,Omnitrol Chamber Mount,TBD,,,,,"3""CHMB CS|1""600#RF|14.75"""
663WGV643E2K15B,663WG,Omnitrol Chamber Mount,TBD,,,,,"3""CHMB CS|1""600#RF|15""C-C"
94210-341120012,94210,Emergency Vents,SP,,SP,94210-7A7C20,24in / ATEX / Standard / ANSI-FF / STEEL,"24""ANSI-RF|RA3.2|CS|<8OZ|"
821062,82106,L&J Spare Parts,TBD,,,,,ASSY-16POS CONDULET RS485
9715-10600,9715-,Spare Parts-MG,TBD,,,,,"2-4"" DIAP GASKET .025""NBR"
97130-061000,97130,Fire Protection,Standard,97130-6A010,,,6in / Aluminum ANSI-FF / Horizontal or Vertical / 316SS / None / 6in,"6"" HORZ-THERMAL VALVE ALU"
95021-210000,95021,Gauge Hatches,Standard,95021-24B000,,,"Unclamped / Steel / 4"" / ANSI-RF 150 lb. Bolted / Standard No Lock","4""RF GAGE/HATCH STL UNCLM"
94200-333402001,94200,Emergency Vents,TBD,,SP,,,"24""API ALUM L/L BUNA SP<S"
92021-6A3,92021,Automatic Tank Gauges,Standard,92021-6A3,,,NoKit,KIT 6A-FLOATING ROOF 90 F
97100E321103,97100,Wastewater - Misc,Standard,97100E321103,,,NoKit,3QT AL/NEOP 5# SS/BRKT JK
94270 020451002,94270,Pressure / Vacuum Vents,Standard,94270 020451002,,,NoKit,1/2NPT 316/FEP/EPD|FCV|IO
92021-13A1028,92021,Automatic Tank Gauges,Standard,92021-13A1028,,,NoKit,"KIT 13A1 316/AB 8.5""LQS 4"
D28970-H,D2897,"Delavan Spare Parts (110,220,320)",TBD,,,,,94 SENSOR
94210-341200016,94210,Emergency Vents,SP,,SP,94210-7A7D10,24in / Standard / Standard / ANSI-FF / STEEL,"24""ANSI-RF E/V CS/316L-P|"
236-10,236-1,Spare Parts-MG,TBD,,,,,"COMP SPG 1.026IDX2.66"" 44"
9420-10460,9420-,Spare Parts-MG,TBD,,,,,STANDOFF (1/2 DIA) NYLON
9421-16850-C,9421-,Spare Parts-MG,TBD,,,,,"30""ANSI FINAL BASE WELD A"
94020=15071805,94020,Pressure / Vacuum Vents,Discontinued Feature,,Discontinued Feature,0,#N/A,"4""AL/FF|XOS|AW|IW|SP>5""|3"
94020=72030500,94020,Pressure / Vacuum Vents,Standard,94021-2D2F10,,,"Closed, Standard Outlet > Inlet* / 2in / 316SS I-ST / ANSI-FF 150# / HIGH / Standard / 316 / FEP","2""|3"" B/V 316SS/RF SP>5"""
851109-013,85110,Spare Parts-MG,TBD,,,,,"10"" RETAINING PLATE 316SS"
9411-10860,9411-,Spare Parts-MG,TBD,,,,,"12"" BACK-UP DISC N-8090"
94040=C2061000,94040,Pressure / Vacuum Vents,Standard,94040-2C2B2F10,,,2'' / Standard / 5.01 PSIG - 7.0 PSIG / Standard / CAST STEEL I-ST / ANSI-RF 150#,"2""RF SLBV,STL,SS/TR,FEP,6"
97100-7203,97100,Wastewater - Misc,Standard,97100-7203,,,NoKit,6QT AL/BUNA SS/HW 25# AI+
9712-50020,9712-,Spare Parts-MG,TBD,,,,,GASKET-NEOPR 102OD 96ID 1
2000M0311001670,2000M,Transmitters,TBD,,,,,2000M SJ92006/SPOT/HART/2
94241-1423,94241,Pressure / Vacuum Vents,Standard,94241-14323,,,"24"" 125 lb. FF Flange / Steel / 316 SS / Stainless Steel / Stainless Steel","24"" 316 SCRN/HDW/HD,STL B"
94020=170103008,94020,Pressure / Vacuum Vents,TBD,,,,,"8""AL O/V|FEP|ATFE|SS:ST+P"
851445-012,85144,Spare Parts-MG,TBD,,,,,"8"" SPACER  .063""N8090"
94020R18010400,94020,Pressure / Vacuum Vents,TBD,,,,,"10"" AL B/V FEP SP=STD 316"
351    &K706002,351,,TBD,,,,,0402020101 351 MULTI-POIN
351    &L717502,351,,TBD,,,,,0402020101 351 MULTI-POIN
9411-10900,9411-,Spare Parts-MG,TBD,,,,,"12""PRESSURE COVER GASKET"
95021-024201,95021,Gauge Hatches,Standard,95021-06A240,,,"Quick Clamp / Aluminum / 6"" / ANSI-FF 150 lb. Bolted / Standard No Lock","6"" ANSI G/H QCLMP ALUM/EP"
94210-221200002,94210,Emergency Vents,SP,,SP,94210-4C4D10,16in / Standard / Standard / ANSI-FF / ALUMINUM,"16""AL ANSI E/V SP<12OZ,31"
97100E731223,97100,Wastewater - Misc,Standard,97100E731223,,,NoKit,"6QT AL,NEOP,A/I,N7-TMR,AN"
94020=52110100,94020,Pressure / Vacuum Vents,Standard,94020-2C2A10,,,Open Vent / 2in / CAST STEEL I-ST / ANSI-RF 150# / LOW / Standard / Lead / FEP,"2""BV CS/RF O/V SP=STD"
94210-140200002,94210,Emergency Vents,SP,,SP,94210-7D7B10,24in / Standard / Standard / API 650 / STEEL,"24""API E/V STL STD<SP<4OZ"
94270 04019102,94270,Pressure / Vacuum Vents,Standard,94270 04019102,,,NoKit,"1/2""FLG 316/NBR I/O:GAGE"
94210-100100,94210,Emergency Vents,Standard,94210-1C1A10,,,8in / Standard / Standard / ANSI-FF / ALUMINUM,"8""AL/FF E/V; FEP/STD; SP="
LA240-1897,LA240,Spare Parts-MG,TBD,,,,,"SPRING RH-1 7/8DIA,PH17-7"
LC233-1364,LC233,Spare Parts-MG,TBD,,,,,COVER MACH 316SS
95021-031212,95021,Gauge Hatches,Standard,95021-08C211,,,"Quick Clamp / 316SS / 8"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","8""FF ANSI G/H SS|LK-CLMP|"
94241-0421,94241,Pressure / Vacuum Vents,Standard,94241-04121,,,"2"" 125 lb. FF Flange / Aluminum / Aluminum / Stainless Steel / Stainless Steel","2""FF FV AL/BASE HOOD SS S"
351    !B718004,351,,TBD,,,,,1006020200 351 MULTI-POIN
94200-330402002,94200,Emergency Vents,TBD,,SP,94200-4N4A10,,PALLET ASSY F/ 94200-3304
438108,43810,In-House Repair,TBD,,,,,REPAIR 820165/166 COND 12
2350   &K706004,2350,Temperature Devices,TBD,,,,,01         MCG 2350F TEMP
94240-0601,94240,Pressure / Vacuum Vents,TBD,,,,,"10""FREE/VT AL,SS/SCN NO/S"
94210-111200004,94210,Emergency Vents,SP,,SP,94210-2A2D10,10in / Standard / Standard / ANSI-FF / STEEL,"10""ANSI EV-STL NOVA/PNT <"
94210-271200001,94210,Emergency Vents,SP,,SP,94210-3A3D10,12in / Standard / Standard / ANSI-FF / STEEL,"12""RF/CS E/V|FEP|NACE|SP="
851156-013,85115,Spare Parts-MG,TBD,,,,,"PRESSURE SCREEN - 10"""
2000M0200000100,2000M,Transmitters,TBD,,,,,2000M 92021/4-20 OUT/4 WI
2000M0200001670,2000M,Transmitters,TBD,,,,,2000M 92021/HART/24DC LOO
94020R160101002,94020,Pressure / Vacuum Vents,TBD,,,,,"6"" BV-ALUM AG/FEP STD L/V"
94020=150101011,94020,Pressure / Vacuum Vents,TBD,,,,,"4"" BV-ALUM A/G SP=STD 316"
94306-166671,94306,Fire Protection,Discontinued Feature,,Discontinued Feature,,#N/A,"6"" FA-ALUM STL/SH 304/TB"
94110=52100000,94110,Pressure / Vacuum Vents,Standard,94110-2C2A24,,,2in / LOW / Standard / Lead / CAST STEEL I-ST / ANSI-RF 150#,"2""VAC/VT CS/RF SP/STD"
97200-32,97200,Fire Protection,Standard,97200-32,,,NoKit,"3/4""NPT FLAME CHECK ALUM/"
92021-32090101,92021,Automatic Tank Gauges,Standard,92021-32090101,,,NoKit,"LVL GAGE-FT/IN,INN,120',M"
1097   ZJ13301A,1097,Vent Relief,TBD,,,,,20         WIRELESS RELIE
121283-P-TB2330,12128,Spare Parts-MG,TBD,,,,,PLC WITH BATT/PROGRAM TB2
4348   (L718001,4348,Inventory Management,TBD,,,,,SOFTWARE-UPDATE EXISTING
94060-025243,94060,Pressure / Vacuum Vents,TBD,,,,,"2""FRP V/V DER470+HAST|EW|"
